id,name
estate_property_tag_1,Neuf
estate_property_tag_2,Rénové
estate_property_tag_3,À rénover
estate_property_tag_4,Luxe
estate_property_tag_5,Coup de cœur
estate_property_tag_6,Bon rapport qualité/prix
estate_property_tag_7,Proche transports
estate_property_tag_8,Vue exceptionnelle
estate_property_tag_9,Calme
estate_property_tag_10,Centre-ville
estate_property_tag_11,Proche écoles
estate_property_tag_12,Piscine
estate_property_tag_13,Cheminée
estate_property_tag_14,Parking
estate_property_tag_15,Terrasse
estate_property_tag_16,Balcon
estate_property_tag_17,Cave
estate_property_tag_18,Grenier aménageable
estate_property_tag_19,Jardin paysager
estate_property_tag_20,Investissement locatif
estate_property_tag_21,Premier achat
estate_property_tag_22,Urgente
estate_property_tag_23,Négociable
estate_property_tag_24,Exclusivité
estate_property_tag_25,Récent